id,id_sessao,proposicao_id,data,resumo,obj_votacao
1316,3043,335178,2007-02-06 17:30:00,"Rejeitada a Emenda nº 1 do Senado Federal, com parecer pela rejeição.    Sim: 80; Não: 333; Total: 413.",EMENDA Nº 1 DO SF COM PARECER PELA REJEIÇÃO
2345,3048,340260,2007-02-08 16:14:00,"Aprovado o Projeto de Decreto Legislativo nº 4, de 2007.   Sim: 346; Não: 23; Abst.: 19; Total: 388.",ESCOLHA DO SR. RAIMUNDO CARREIRO SILVA PARA O CARGO DE MINISTRO DO TCU
2055,3054,335937,2007-02-12 16:31:00,Rejeitado o Requerimento.   Sim: 38; Não: 237; Abt.: 4; Total: 279.,REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR DUAS SESSÕES
2056,3055,335937,2007-02-12 20:24:00,Rejeitado o Requerimento.   Sim: 10; Não: 264; Abst.: 4; Total: 278.,REQUERIMENTO DE RETIRADA DE PAUTA
274,3058,338066,2007-02-14 19:07:00,"Aprovado, em apreciação preliminar, o Parecer do Relator, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.   Sim: 310; Não: 128; Abst.: 1; Total: 439.",PARECER DO RELATOR PELA ADMISSIBILIDADE
2377,3059,327896,2007-02-14 21:22:00,"Aprovada a Proposta do Senado Federal para que possa tramitar o Projeto de Lei nº 7.225, de 2006, em razão de rejeição de matéria idêntica ao Projeto de Lei nº 7.298, de 2002 e apensados.   (Votação nominal, aprovada pela maioria absoluta dos deputados, nos temos do art. 110, do RICD, combinado com art. 67, da Constituição Federal.)   Sim: 398; Não: 2; Abst.: 4; Total: 404.","PROPOSTA DO SENADO (ART. 67, CF)"
1940,3061,340368,2007-02-15 11:55:00,Aprovado o Requerimento de Urgência (Art. 155 do RICD).   Sim: 323; Não: 42; Abst.: 1; Total: 366.,REQUERIMENTO DE URGÊNCIA
1941,3061,340368,2007-02-15 13:24:00,,PROJETO DE LEI
429,3062,339552,2007-02-26 17:41:00,"Aprovado, em apreciação preliminar, o Parecer do Relator, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.     Sim: 228; Não: 96; Abst.: 0; Total: 324.",PARECER DO RELATOR PELA ADMISSIBILIDADE
444,3063,339801,2007-02-27 19:02:00,Mantido o texto.   Sim: 392; Não: 60; Abst.: 1; Total: 453.,DVS PSDB ANEXO MEC
552,3064,339630,2007-02-28 17:05:00,"Aprovado, em apreciação preliminar, o Parecer do Relator, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.     Sim: 323; Não: 117; Abst.: 0; Total: 440.",PARECER DO RELATOR PELA ADMISSIBILIDADE
1798,3065,339854,2007-02-28 20:39:00,"Aprovado, em apreciação preliminar, o Parecer do Relator, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.   Sim: 295; Não: 148; Abst.: 2; Total: 445.",PARECER DO RELATOR PELA ADMISSIBILIDADE
