id,id_sessao,proposicao_id,data,resumo,obj_votacao
76,4212,491974,2011-02-15 21:09:00,Aprovado o Requerimento. Sim: 391; não:22; abstenção: 3; total: 416.,URGÊNCIA PARA O PL 382/2011
273,4215,491872,2011-02-16 00:17:00,Mantida a expressão. Sim: 350; não:117; abstenção: 2; total: 469.,"DVS - Bloco PvPps - EXPR: ""por meio de decreto"" - ART. 3º DO PL 382/2011 (...)"
271,4214,491872,2011-02-16 22:38:00,Rejeitada a Emenda de Plenário de n.º 1. Sim: 106; não: 376; abstenção: 7; total: 489.,DVS - PSDB - EMENDA Nº 1
272,4214,491872,2011-02-16 23:27:00,Rejeitada a Emenda de Plenário de n.º 22. Sim: 120; não: 361; abstenção: 11; total: 492.,DVS - DEM - EMENDA Nº 22
485,4219,485274,2011-02-22 17:36:00,Rejeitado o Requerimento. Sim: 2; não: 269; abstenção:4; total: 275.,REQUERIMENTO DE RETIRADA DE PAUTA
486,4219,485274,2011-02-22 19:20:00,Rejeitado o Requerimento. Sim: 5; não: 282; abstenção: 3; total: 290.,REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR 1 SESSÃO
487,4220,485274,2011-02-22 20:45:00,Rejeitado o Requerimento. Sim: 14; não: 309; abstenção: 02; total: 325.,REQUERIMENTO DE RETIRADA DE PAUTA
955,4221,485275,2011-02-23 17:01:00,Rejeitado o Requerimento. Não: 276; abstenção: 3; total: 279.,REQUERIMENTO DE RETIRADA DE PAUTA
1042,4251,485758,2011-04-05 17:02:00,Rejeitado o Requerimento. Sim: 07; não: 248; abstenção: 02; total: 257.,REQUERIMENTO DE RETIRADA DE PAUTA
1043,4251,485758,2011-04-05 19:11:00,Rejeitado o Requerimento. Sim: 12; não: 298; abstenção: 04;  total: 314.,REQUERIMENTO DE CONCESSÃO DE PRAZO
1044,4252,485758,2011-04-05 20:25:00,Rejeitado o Requerimento. Sim 07; não: 267; abstenção: 04; total: 278.,REQUERIMENTO DE RETIRADA DE PAUTA
1045,4252,485758,2011-04-05 22:14:00,,REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO E ENCAMINHAMENTO
1046,4253,485758,2011-04-06 17:10:00,Mantida a expressão. Sim: 213; não: 68; total: 281.,"DVS - PSDB - EXPR. ""autoriza... ETAV"" CONST. DO ART. 1º DO PLV"
1047,4253,485758,2011-04-06 19:06:00,Mantido o art. 23 do Projeto de Lei de Conversão. Sim: 203; não: 68; total: 271.,DVS - DEM - ART. 23 DO PLV
1739,4254,491963,2011-04-06 19:54:00,Aprovado o Requerimento. Sim: 336; não: 24; abstenção: 03; total: 363.,URGÊNCIA PARA PDC Nº 2600/2010
1232,4254,476031,2011-04-06 20:57:00,Rejeitado o Requerimento. Sim: 11; não: 286; abstenção: 02; total: 299.,REQUERIMENTO DE RETIRADA DE PAUTA
1233,4254,476031,2011-04-06 22:17:00,Rejeitado o Requerimento. Sim: 09; não: 270; abstenção: 02; total: 281.,REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR 1 SESSÃO
1234,4254,476031,2011-04-06 23:31:00,"Aprovado o Projeto de Decreto Legislativo n.º 2.600, de 2010. Sim: 285; não: 54; total: 339.",PROJETO DE DECRETO LEGISLATIVO
440,4261,487868,2011-04-13 15:57:00,Mantido o texto. Sim: 333; não: 41; abstenção: 07; total: 381.,DVS - PT - § 7º DO ART. 11-B CONSTANTE DO ART. 1º DO PLV
441,4261,487868,2011-04-13 17:50:00,Suprimido o artigo: Sim: 156; não: 220; abstenção: 04; total: 380.,DVS - PV - ART. 2º  DO  PLV
1928,4272,487966,2011-04-26 18:22:00,Mantido o texto. Sim: 272; não:72; total: 344.,DVS - PSDB -  ART. 5º DO PLV
1512,4273,488607,2011-04-27 18:41:00,Rejeitado o Requerimento. Sim:55; não: 339; abstenção:02; total: 396.,REQ. DE CONCESSÃO DE PRAZO POR 1 SESSÃO
1530,4280,488582,2011-05-03 22:47:00,"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 399; não: 18; abstenção: 1; total: 418.
DCD 04/05/11 PÁG 21338 COL 02.",URGÊNCIA PARA O PL Nº 1876/1999
200,4287,490387,2011-05-10 16:50:00,Rejeitado o Requerimento. Sim: 17; não: 263; abstenção: 04; total: 284.,REQUERIMENTO DE RETIRADA DE PAUTA
238,4292,17338,2011-05-11 00:00:00,,REQUERIMENTO DE RETIRADA DE PAUTA
826,4299,490375,2011-05-18 13:48:00,Rejeitado o Requerimento. Sim: 11; não: 269; abstenção: 03; total: 283.,REQUERIMENTO DE RETIRADA DE PAUTA
239,4305,17338,2011-05-24 20:52:00,"Aprovada a Emenda Substitutiva Global de Plenário n.º 186, com parecer favorável, ressalvados os destaques. Sim: 410; não: 63; abstenção: 01; total: 474.",EMENDA SUBSTITUTIVA GLOBAL DE PLENÁRIO Nº 186
240,4305,17338,2011-05-24 23:50:00,Aprovada a Emenda de Plenário n.º 164. Sim: 273; não: 182; abstenção: 02; total: 457.,DVS - PMDB - EMENDA Nº 164
827,4308,490375,2011-05-25 16:25:00,Mantido o texto. Sim: 270; não: 101; abstenção: 2; total: 373.,DVS - PSDB - ART. 20 DO PLV
828,4308,490375,2011-05-25 17:15:00,Rejeitada a Emenda. Sim: 94; não: 257; total: 351.,DVS - PV-PPS - EMENDA 64
829,4308,490375,2011-05-25 18:07:00,Mantido o artigo. Sim: 265; não: 118; total: 383.,DVS - DEM - ART. 24 DO PLV
356,4325,507762,2011-06-08 20:42:00,Rejeitado o Requerimento. Sim: 60; não: 293; abstenção: 8; total: 361.,MOÇÃO
225,4331,495378,2011-06-15 18:05:00,Rejeitado o Requerimento. Sim: 07; não: 271; abstenção: 01; total: 279.,REQUERIMENTO DE RETIRADA DE PAUTA
226,4332,495378,2011-06-15 20:47:00,Rejeitado o Requerimento. Sim: 07; não: 262; abstenção:02; total: 271.,REQUERIMENTO DE RETIRADA DE PAUTA
227,4332,495378,2011-06-15 23:25:00,"Aprovada a Medida Provisória n.º 527, de 2011, na forma do Projeto de Lei de Conversão apresentado, com alterações, ressalvados os destaques. Sim: 272, não: 76; abstenção: 03; total: 351.
DCD do dia 16/06/11 PAG 30802 COL 02.",PROJETO DE LEI DE CONVERSÃO
228,4342,495378,2011-06-28 18:59:00,Mantido o texto. Sim: 264; não: 88; total: 352.,DVS - DEM - CAPÍTULO I DO PLV
229,4342,495378,2011-06-28 20:23:00,Mantido o texto. Sim: 310; não: 96; abstenção: 02; total: 408.,DVS - PSDB - § 3º DO ART. 8º DO PLV
230,4343,495378,2011-06-28 21:24:00,Mantido o texto. Sim: 247; não: 83; abstenção: 02; total: 332.,DVS - PSDB - ART. 9º DO PLV
231,4343,495378,2011-06-28 21:48:00,Mantido o texto. Sim: 238; não: 75; abstenção: 01; total: 314.,"DVS - PSDB - EXPRESSÃO ""básico e"" § 1º DO ART. 9º DO PLV"
232,4343,495378,2011-06-28 22:31:00,Mantido o texto. Sim: 334; não: 08; abstenção: 03; total: 345.,DVS - DEM - INC. IV DO ART. 24d DA LEI 10.683/03 (ART. 1º DA MP)
1483,4350,496290,2011-07-05 18:20:00,Rejeitada a Emenda. Sim: 79; não: 229; total: 308.,DVS - PSDB - EMENDA Nº 3
1484,4350,496290,2011-07-05 19:31:00,Rejeitada a Emenda. Sim: 99; não: 260; abstenção: 01; total: 360.,DVS - DEM - EMENDA Nº 34
2401,4364,499323,2011-08-03 18:01:00,Rejeitado o Requerimento. Sim: 02; não: 268; abstenção: 01; total: 271.,REQUERIMENTO DE RETIRADA DE PAUTA
2402,4364,499323,2011-08-03 19:53:00,Rejeitado o Requerimento. Sim: 02; não: 297; total: 299.,REQ. DE CONCESSÃO DO PRAZO DE 1 SESSÃO P/ VOTAÇÃO DO PLV
2403,4365,499323,2011-08-03 20:51:00,Rejeitado o Requerimento. Sim: 2; não: 318; abstenção: 1; total: 321.,REQUERIMENTO DE RETIRADA DE PAUTA
