id,name,party_before,party_after,rollcall_id,rollcall_date,coalition_start_date,coalition_before,coalition_after,legislature,legislature_year
4931,Izalci,PL>PR,PSDB,1807,2012-10-30 18:12:00,2012-03-02,True,False,54,2
64960,Maria Helena,PMDB,PCB>PPS,1126,2003-09-24 20:43:00,2003-01-01,False,True,52,1
64960,Maria Helena,PCB>PPS,PCB>PPS,1571,2005-02-23 19:14:00,2005-02-01,True,False,52,3
64960,Maria Helena,PCB>PPS,PSB,1163,2005-10-11 16:10:00,2005-07-23,False,True,52,3
65472,Fábio Raunheitti,PTB,PTB,2141,1992-04-29 16:43:00,1992-04-15,False,True,49,2
65472,Fábio Raunheitti,PTB,PTB,537,1994-02-23 12:07:00,1994-01-25,True,False,49,4
65475,Flávio Rocha,PL>PR,PL>PR,1577,1992-05-06 18:04:00,1992-04-15,False,True,49,2
65475,Flávio Rocha,PL>PR,PL>PR,906,1992-12-02 20:17:00,1992-10-01,True,False,49,2
65480,Geraldo Alckmin Filho,PSDB,PSDB,1707,1992-10-21 17:30:00,1992-10-01,False,True,49,2
65495,José Serra,PSDB,PSDB,1707,1992-10-21 17:30:00,1992-10-01,False,True,49,2
65511,Miguel Arraes,PSB,PSB,553,1992-11-04 19:08:00,1992-10-01,False,True,49,2
65511,Miguel Arraes,PSB,PSB,857,1993-09-15 12:28:00,1993-08-31,True,False,49,3
65551,Wagner Lago,PDT,PDS>PP,2017,2003-09-15 00:00:00,2003-01-01,True,False,52,1
65551,Wagner Lago,PDS>PP,PDS>PP,1027,2005-08-17 17:22:00,2005-07-23,False,True,52,3
65551,Wagner Lago,PDS>PP,PDT,1163,2005-10-11 16:10:00,2005-07-23,True,False,52,3
65904,Maurílio Ferreira Lima,PMDB,PMDB,553,1992-11-04 19:08:00,1992-10-01,False,True,49,2
65987,Lúcia Braga,PMN,PT,1351,2003-10-15 17:58:00,2003-01-01,False,True,52,1
65988,Antônio Britto,PMDB,PMDB,1582,1994-02-02 13:46:00,1994-01-25,False,True,49,4
66490,Antônio Faleiros,PSDB,PSDB,1707,1992-10-21 17:30:00,1992-10-01,False,True,49,2
68731,Henrique Oliveira,PL>PR,SD,364,2013-10-08 17:57:00,2013-10-03,True,False,54,3
72553,Gessivaldo Isaias,PRONA,PMDB,1140,1999-09-14 17:49:00,1999-01-01,False,True,51,1
73416,Nelson Bornier,PL>PR,PL>PR,1574,1992-04-29 21:46:00,1992-04-15,False,True,49,2
73416,Nelson Bornier,PL>PR,PL>PR,906,1992-12-02 20:17:00,1992-10-01,True,False,49,2
73416,Nelson Bornier,PL>PR,PSDB,785,1996-07-16 17:23:00,1996-04-26,False,True,50,2
73416,Nelson Bornier,PSB,PMDB,510,2003-08-26 17:58:00,2003-01-01,True,False,52,1
73416,Nelson Bornier,PMDB,PMDB,728,2004-01-27 17:24:00,2004-01-23,False,True,52,2
73417,Nilton Cerqueira,PDS>PP,PSDB,2480,1998-04-29 17:52:00,1996-04-26,False,True,50,4
73419,Roberto Campos,PDS>PP,PDS>PP,906,1992-12-02 20:17:00,1992-10-01,True,False,49,2
73419,Roberto Campos,PDS>PP,PDS>PP,611,1996-05-07 17:13:00,1996-04-26,False,True,50,2
73420,Roberto Jefferson,PTB,PTB,2141,1992-04-29 16:43:00,1992-04-15,False,True,49,2
73420,Roberto Jefferson,PTB,PTB,820,1994-02-08 13:25:00,1994-01-25,True,False,49,4
73422,Rubem Medina,PFL>DEM,PFL>DEM,579,2002-03-19 18:50:00,2002-03-06,True,False,51,4
73424,Simão Sessim,PDS>PP,PDS>PP,1707,1992-10-21 17:30:00,1992-10-01,True,False,49,2
73424,Simão Sessim,PDS>PP,PSDB,1984,1996-01-17 16:50:00,1995-01-01,False,True,50,2
73424,Simão Sessim,PDS>PP,PDS>PP,1027,2005-08-17 17:22:00,2005-07-23,False,True,52,3
73426,Adhemar de Barros Filho,PDS>PP,PDS>PP,1324,1996-05-08 18:19:00,1996-04-26,False,True,50,2
73427,Alberto Goldman,PMDB,PMDB,456,1994-01-12 13:30:00,1993-08-31,False,True,49,4
73429,Almino Affonso,PSDB,PSB,457,1997-10-07 18:28:00,1996-04-26,True,False,50,3
73434,Arnaldo Faria de Sá,PDS>PP,PDS>PP,860,1994-06-07 21:28:00,1994-01-25,True,False,49,4
